,Emotion,Sentence
188,Other,cho mình xin bài nhạc tên là gì với ạ
166,Disgust,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡
1345,Disgust,lo học đi . yêu đương lol gì hay lại thích học sinh học
316,Enjoyment,uớc gì sau này về già vẫn có thể như cụ này :))
1225,Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .
1220,Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết
44,Other,một lí do trog muôn vàn lí do
1951,Surprise,thật hay đùa ác vậy . không thể tin được
1249,Anger,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠"
1063,Sadness,per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa
1523,Enjoyment,công nhận sáng tạo thật đấy
1785,Disgust,đòn tấn công cực gắt và cục sút của anh 😂😂😂
1069,Other,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3
776,Enjoyment,minh biết nữa ne
1398,Disgust,mấy thằng củ lol việt nam nhảm nhí :))
497,Sadness,"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người"
562,Other,"bếp dầu , nhiều nhà vẫn dùng"
327,Other,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề
191,Fear,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai"
298,Enjoyment,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁
1750,Anger,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à"
303,Disgust,coi video chưa hiểu gì đã làm ầm lên
569,Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊
860,Enjoyment,yêu chết đi được .
1503,Sadness,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại
419,Sadness,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt
1272,Anger,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
29,Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭
337,Fear,t gặp quả này thì bỏ xe mà chạy ??
180,Other,thế con trai là của ai cho
1782,Surprise,per đây mí chính là cụ tổ của những chiếc sừng này
205,Fear,muốn share về mà sợ bị bạn nè phẫn nộ quá
1080,Sadness,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂"
831,Sadness,nay buồn :(((
298,Fear,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực"
192,Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra
632,Other,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm
925,Other,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .
1410,Sadness,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải
1774,Enjoyment,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊
1573,Anger,đéo được tích sự gì 😂
986,Sadness,haizzz ... thế là chưa có kq gì tốt đẹp cả ..
1453,Sadness,bản thân cố gắng cũng chẳng dễ dàng gì :((
875,Disgust,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó"
498,Other,thế em ăn cơm chưa ?
1122,Other,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha"
789,Disgust,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ
1848,Anger,mày coi chừng có ngày tao dã dô mặt mày như dzầy
1733,Surprise,canh thời gian đăng đúng vãi !
168,Disgust,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng
1382,Sadness,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người
535,Sadness,mình thi xong còn không khóc được 😢
1442,Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí"
1064,Sadness,"per trừ điểm , trừ điểm"
864,Disgust,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !"
971,Sadness,cả tuần không được nói chuyện
597,Anger,per mày cẩn thận tao giết
17,Disgust,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑
541,Other,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :))
690,Enjoyment,đẹp trai quá
131,Anger,đóng cái lồn tao nè chứ đóng
651,Sadness,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí"
984,Sadness,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓"
246,Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi =))))))))
780,Disgust,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .
