model,data,preprocessing,text_embedding,lan_chay,accuracy_score,f1_score
svm,uit-vihsd,1,cv,1,0.8263,0.5337
svm,uit-vihsd,1,cv,2,0.826,0.5592
svm,uit-vihsd,1,cv,3,0.8241,0.5452
svm,uit-vihsd,1,cv,4,0.8132,0.55
svm,uit-vihsd,1,cv,5,0.8223,0.5323
svm,uit-vsmec,1,cv,1,0.5155,0.4827
svm,uit-vsmec,1,cv,2,0.4931,0.4704
svm,uit-vsmec,1,cv,3,0.4764,0.4582
svm,uit-vsmec,1,cv,4,0.4714,0.4589
svm,uit-vsmec,1,cv,5,0.4656,0.4483
svm,uit-vsfc,1,cv,1,0.8374,0.691
svm,uit-vsfc,1,cv,2,0.814,0.6935
svm,uit-vsfc,1,cv,3,0.8222,0.6909
svm,uit-vsfc,1,cv,4,0.8318,0.6951
svm,uit-vsfc,1,cv,5,0.8198,0.6897
svm,uit-vihsd,0,cv,1,0.8265,0.5199
svm,uit-vihsd,0,cv,2,0.8152,0.5591
svm,uit-vihsd,0,cv,3,0.814,0.5552
svm,uit-vihsd,0,cv,4,0.8132,0.5524
svm,uit-vihsd,0,cv,5,0.8128,0.5505
svm,uit-vsmec,0,cv,1,0.4679,0.459
svm,uit-vsmec,0,cv,2,0.4721,0.4482
svm,uit-vsmec,0,cv,3,0.4586,0.4432
svm,uit-vsmec,0,cv,4,0.4432,0.4601
svm,uit-vsmec,0,cv,5,0.4811,0.4376
svm,uit-vihsd,1,tf-idf,1,0.7558,0.3961
svm,uit-vihsd,1,tf-idf,2,0.7422,0.4051
svm,uit-vihsd,1,tf-idf,3,0.7624,0.391
svm,uit-vihsd,1,tf-idf,4,0.7532,0.4192
svm,uit-vihsd,1,tf-idf,5,0.7765,0.4161
svm,uit-vsmec,1,tf-idf,1,0.4953,0.4569
svm,uit-vsmec,1,tf-idf,2,0.4701,0.4449
svm,uit-vsmec,1,tf-idf,3,0.4688,0.4383
svm,uit-vsmec,1,tf-idf,4,0.4546,0.4532
svm,uit-vsmec,1,tf-idf,5,0.4445,0.4611
svm,uit-vsfc,1,tf-idf,1,0.8286,0.671
svm,uit-vsfc,1,tf-idf,2,0.8201,0.6689
svm,uit-vsfc,1,tf-idf,3,0.8214,0.6702
svm,uit-vsfc,1,tf-idf,4,0.8198,0.6718
svm,uit-vsfc,1,tf-idf,5,0.8252,0.67
svm,uit-vihsd,0,tf-idf,1,0.7808,0.5007
svm,uit-vihsd,0,tf-idf,2,0.7812,0.511
svm,uit-vihsd,0,tf-idf,3,0.7905,0.5162
svm,uit-vihsd,0,tf-idf,4,0.7808,0.5102
svm,uit-vihsd,0,tf-idf,5,0.7814,0.51
svm,uit-vsmec,0,tf-idf,1,0.4794,0.4507
svm,uit-vsmec,0,tf-idf,2,0.4586,0.4432
svm,uit-vsmec,0,tf-idf,3,0.4448,0.4498
svm,uit-vsmec,0,tf-idf,4,0.4363,0.4513
svm,uit-vsmec,0,tf-idf,5,0.465,0.4592
svm,uit-vihsd,1,co_param,1,0.8605,0.6297
svm,uit-vihsd,1,co_param,2,0.8511,0.6115
svm,uit-vihsd,1,co_param,3,0.8491,0.6222
svm,uit-vihsd,1,co_param,4,0.8586,0.6075
svm,uit-vihsd,1,co_param,5,0.8484,0.5996
svm,uit-vsmec,1,co_param,1,0.6003,0.5866
svm,uit-vsmec,1,co_param,2,0.5898,0.5778
svm,uit-vsmec,1,co_param,3,0.5945,0.5698
svm,uit-vsmec,1,co_param,4,0.5713,0.5688
svm,uit-vsmec,1,co_param,5,0.5844,0.5759
svm,uit-vsfc,1,co_param,1,0.8734,0.748
svm,uit-vsfc,1,co_param,2,0.8717,0.7388
svm,uit-vsfc,1,co_param,3,0.878,0.7341
svm,uit-vsfc,1,co_param,4,0.8757,0.7392
svm,uit-vsfc,1,co_param,5,0.8762,0.7426
svm,uit-vihsd,0,co_param,1,0.8555,0.6371
svm,uit-vihsd,0,co_param,2,0.8638,0.6447
svm,uit-vihsd,0,co_param,3,0.852,0.6152
svm,uit-vihsd,0,co_param,4,0.8551,0.6267
svm,uit-vihsd,0,co_param,5,0.8545,0.631
svm,uit-vsmec,0,co_param,1,0.6047,0.5879
svm,uit-vsmec,0,co_param,2,0.5932,0.5745
svm,uit-vsmec,0,co_param,3,0.5779,0.5676
svm,uit-vsmec,0,co_param,4,0.5869,0.5704
svm,uit-vsmec,0,co_param,5,0.5854,0.5812
svm,uit-vihsd,1,ko_param,1,0.8147,0.478
svm,uit-vihsd,1,ko_param,2,0.7957,0.4845
svm,uit-vihsd,1,ko_param,3,0.8151,0.4931
svm,uit-vihsd,1,ko_param,4,0.8055,0.4743
svm,uit-vihsd,1,ko_param,5,0.78,0.4611
svm,uit-vsmec,1,ko_param,1,0.4447,0.408
svm,uit-vsmec,1,ko_param,2,0.4621,0.4138
svm,uit-vsmec,1,ko_param,3,0.4567,0.4481
svm,uit-vsmec,1,ko_param,4,0.4687,0.4541
svm,uit-vsmec,1,ko_param,5,0.4731,0.461
svm,uit-vsfc,1,ko_param,1,0.8622,0.7032
svm,uit-vsfc,1,ko_param,2,0.8605,0.7107
svm,uit-vsfc,1,ko_param,3,0.8659,0.7058
svm,uit-vsfc,1,ko_param,4,0.86,0.7041
svm,uit-vsfc,1,ko_param,5,0.8578,0.7089
svm,uit-vihsd,0,ko_param,1,0.7885,0.5138
svm,uit-vihsd,0,ko_param,2,0.7944,0.5261
svm,uit-vihsd,0,ko_param,3,0.7728,0.538
svm,uit-vihsd,0,ko_param,4,0.8051,0.5138
svm,uit-vihsd,0,ko_param,5,0.7822,0.5348
svm,uit-vsmec,0,ko_param,1,0.4202,0.3831
svm,uit-vsmec,0,ko_param,2,0.4288,0.3912
svm,uit-vsmec,0,ko_param,3,0.4373,0.4001
svm,uit-vsmec,0,ko_param,4,0.4233,0.4094
svm,uit-vsmec,0,ko_param,5,0.4199,0.3808
trans,uit-vihsd,1,cv,1,0.8767,0.6229
trans,uit-vihsd,1,cv,2,0.8901,0.6347
trans,uit-vihsd,1,cv,3,0.8935,0.6004
trans,uit-vihsd,1,cv,4,0.8937,0.6157
trans,uit-vihsd,1,cv,5,0.8951,0.6267
trans,uit-vsmec,1,cv,1,0.5589,0.52
trans,uit-vsmec,1,cv,2,0.5839,0.5552
trans,uit-vsmec,1,cv,3,0.5718,0.5528
trans,uit-vsmec,1,cv,4,0.5648,0.5515
trans,uit-vsmec,1,cv,5,0.5715,0.5529
trans,uit-vsfc,1,cv,1,0.9081,0.7766
trans,uit-vsfc,1,cv,2,0.9164,0.7795
trans,uit-vsfc,1,cv,3,0.9123,0.7769
trans,uit-vsfc,1,cv,4,0.9207,0.7782
trans,uit-vsfc,1,cv,5,0.9191,0.7777
trans,uit-vihsd,0,cv,1,0.8116,0.4746
trans,uit-vihsd,0,cv,2,0.8751,0.6264
trans,uit-vihsd,0,cv,3,0.8767,0.6319
trans,uit-vihsd,0,cv,4,0.8791,0.6352
trans,uit-vihsd,0,cv,5,0.8757,0.6303
trans,uit-vsmec,0,cv,1,0.5531,0.5132
trans,uit-vsmec,0,cv,2,0.5639,0.5193
trans,uit-vsmec,0,cv,3,0.5819,0.5271
trans,uit-vsmec,0,cv,4,0.5463,0.5381
trans,uit-vsmec,0,cv,5,0.5851,0.5082
trans,uit-vihsd,1,tf-idf,1,0.8814,0.6384
trans,uit-vihsd,1,tf-idf,2,0.8706,0.6465
trans,uit-vihsd,1,tf-idf,3,0.8761,0.6267
trans,uit-vihsd,1,tf-idf,4,0.8834,0.6562
trans,uit-vihsd,1,tf-idf,5,0.8665,0.6544
trans,uit-vsmec,1,tf-idf,1,0.5502,0.5345
trans,uit-vsmec,1,tf-idf,2,0.5503,0.5495
trans,uit-vsmec,1,tf-idf,3,0.5569,0.5461
trans,uit-vsmec,1,tf-idf,4,0.5718,0.5432
trans,uit-vsmec,1,tf-idf,5,0.5373,0.5439
trans,uit-vsfc,1,tf-idf,1,0.8901,0.7545
trans,uit-vsfc,1,tf-idf,2,0.9002,0.7538
trans,uit-vsfc,1,tf-idf,3,0.9052,0.7555
trans,uit-vsfc,1,tf-idf,4,0.9032,0.7534
trans,uit-vsfc,1,tf-idf,5,0.9065,0.7569
trans,uit-vihsd,0,tf-idf,1,0.8714,0.6128
trans,uit-vihsd,0,tf-idf,2,0.8778,0.6256
trans,uit-vihsd,0,tf-idf,3,0.8763,0.6287
trans,uit-vihsd,0,tf-idf,4,0.875,0.6054
trans,uit-vihsd,0,tf-idf,5,0.8664,0.6148
trans,uit-vsmec,0,tf-idf,1,0.5516,0.5195
trans,uit-vsmec,0,tf-idf,2,0.5643,0.5381
trans,uit-vsmec,0,tf-idf,3,0.5503,0.5508
trans,uit-vsmec,0,tf-idf,4,0.5351,0.5651
trans,uit-vsmec,0,tf-idf,5,0.5417,0.5279
trans,uit-vihsd,1,co_param,1,0.9276,0.715
trans,uit-vihsd,1,co_param,2,0.924,0.7078
trans,uit-vihsd,1,co_param,3,0.9302,0.7192
